"排名","代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
"1",="2330","台積電","市","11/24","1375","-10","-0.72","10","2,593","2,593","356,573","38.8","31.2","有","有","有","有","","","半導體業","魏哲家","總裁: 魏哲家"
"2",="2317","鴻海","市","11/24","220","-5","-2.22","10","1,396","1,396","30,721","51.8","34.4","有","有","有","有","","","其他電子業","劉揚偉","劉揚偉"
"3",="2308","台達電","市","11/24","893","-2","-0.22","10","260","259.8","23,196","50.3","36.9","有","","有","有","","","電子零組件業","鄭平","張訓海"
"4",="2454","聯發科","市","11/24","1150","+5","+0.44","10","160","160.4","18,445","28.5","24.3","有","有","有","","","","半導體業","蔡明介","陳冠州"
"5",="2881","富邦金","市","11/24","92","+3.3","+3.72","10","1,561","1,401","12,887","23.9","23.9","有","有","有","有","","有","金控業","蔡明興","韓蔚廷"
"6",="2382","廣達","市","11/24","272","+2","+0.74","10","386","386.3","10,506","37.5","26.9","有","有","","","","","電腦及週邊設備業","林百里","梁次震"
"7",="2412","中華電","市","11/24","132","+0.5","+0.38","10","776","775.7","10,240","29.4","25.1","有","有","有","","","","通信網路業","簡志誠","林榮賜"
"8",="2882","國泰金","市","11/24","65.5","+1.9","+2.99","10","1,620","1,467","9,608","23.9","23.9","有","有","有","有","","有","金控業","蔡宏圖","李長庚"
"9",="3711","日月光投控","市","11/24","210.5","+1.5","+0.72","10","444","442.2","9,309","7.6","7.57","有","有","有","有","","","半導體業","張虔生","張洪本"
"10",="0050","元大台灣50","市","11/24","59.55","-0.3","-0.5","","","1,506","8,970","22.4","22.4","有","有","有","","","","國內成分股ETF","劉宗聖","陳沛宇"
"11",="2891","中信金","市","11/24","44.1","+0.7","+1.61","10","2,015","1,965","8,666","23.5","23.5","有","有","有","有","","有","金控業","顏文隆","高麗雪"
"12",="6669","緯穎","市","11/24","4030","-65","-1.59","10","18.6","18.58","7,489","13.7","6.67","有","","有","有","","","電腦及週邊設備業","洪麗寗","林威遠"
"13",="2886","兆豐金","市","11/24","40.35","+0.85","+2.15","10","1,483","1,483","5,985","23.8","23.8","有","有","有","有","","","金控業","董瑞斌","張傳章"
"14",="2303","聯電","市","11/24","46.55","+1.55","+3.44","10","1,256","1,256","5,844","45.5","40.4","有","有","有","有","","","半導體業","洪嘉聰","簡山傑、王石"
"15",="2345","智邦","市","11/24","944","+37","+4.08","10","56.1","56.11","5,297","37.8","30","有","","有","有","","","通信網路業","黃國修","李訓德"
"16",="6505","台塑化","市","11/24","55.5","+2.5","+4.72","10","953","952.6","5,287","33.6","21.9","有","","有","有","","","油電燃氣業","曹明","林克彥"
"17",="2884","玉山金","市","11/24","30.8","+0.75","+2.5","10","1,617","1,617","4,982","23.8","23.8","有","有","有","有","","","金控業","黃男州","陳茂欽"
"18",="0056","元大高股息","市","11/24","35.15","+0.15","+0.43","","","1,405","4,940","18","17.9","有","","有","","","","國內成分股ETF","劉宗聖","陳沛宇"
"19",="3017","奇鋐","市","11/24","1245","+5","+0.4","10","38.8","38.82","4,833","33.9","23.2","有","","有","有","","","電腦及週邊設備業","沈慶行","沈慶行"
"20",="2327","國巨*","市","11/24","232.5","+3.5","+1.53","2.5","51.8","207.3","4,820","38.2","32.1","有","","有","有","","","電子零組件業","陳泰銘","王淡如"
